feature,variance,near_zero_variance
Pixel_1,0.0,True
Pixel_2,0.7741947290434518,False
Pixel_3,21.830416914679397,False
Pixel_4,18.109902705132914,False
Pixel_5,19.91077430630311,False
Pixel_6,31.704196090475047,False
Pixel_7,11.264983219564089,False
Pixel_8,1.0960097706462684,False
Pixel_9,0.008174795152037081,False
Pixel_10,9.600948442902192,False
Pixel_11,29.493548840566863,False
Pixel_12,16.01846971922848,False
Pixel_13,22.927372342042275,False
Pixel_14,35.671165638733044,False
Pixel_15,15.359510992768582,False
Pixel_16,0.8843642747685566,False
Pixel_17,0.011013791618647182,False
Pixel_18,12.200955503349753,False
Pixel_19,33.934008276237634,False
Pixel_20,34.59514076569446,False
Pixel_21,37.85095613657374,False
Pixel_22,39.205742423474874,False
Pixel_23,12.134981319892098,False
Pixel_24,0.19043565810969973,False
Pixel_25,0.0010664758551690071,False
Pixel_26,9.644127195704208,False
Pixel_27,37.79665898354884,False
Pixel_28,34.77536948620205,False
Pixel_29,38.95500690214156,False
Pixel_30,35.544788439862714,False
Pixel_31,13.2783708413014,False
Pixel_32,0.0035506135940527603,False
Pixel_33,0.0008888881853066701,False
Pixel_34,10.904875951419054,False
Pixel_35,39.430187054368616,False
Pixel_36,38.62222676384544,False
Pixel_37,35.08649646661009,False
Pixel_38,34.56698354250833,False
Pixel_39,12.264243455629995,False
Pixel_40,0.0,True
Pixel_41,0.07480335228783831,False
Pixel_42,8.703408011550007,False
Pixel_43,42.47987297526627,False
Pixel_44,41.71999987335519,False
Pixel_45,39.667326243335324,False
Pixel_46,33.33278184800091,False
Pixel_47,18.97699810666025,False
Pixel_48,0.06124906599460494,False
Pixel_49,0.06260365876825268,False
Pixel_50,3.722169773685744,False
Pixel_51,32.04781002646876,False
Pixel_52,26.735278016995725,False
Pixel_53,28.22149212902572,False
Pixel_54,35.686842206912274,False
Pixel_55,24.07347459505326,False
Pixel_56,0.7112889907675941,False
Pixel_57,0.00035574524132166505,False
Pixel_58,0.8646883904712452,False
Pixel_59,25.207407580957685,False
Pixel_60,18.897758260407038,False
Pixel_61,24.75294040728967,False
Pixel_62,33.81476231937285,False
Pixel_63,16.38305505249427,False
Pixel_64,2.011949443396107,False
