PC,Feature index,Feature name,Loading,|Loading|
PC3,56,tGravityAcc-energy()-X,-0.11006108236406162,0.11006108236406162
PC3,65,"tGravityAcc-arCoeff()-X,1",-0.1099151615277957,0.1099151615277957
PC3,63,tGravityAcc-entropy()-Y,0.10955461171804941,0.10955461171804941
PC3,58,tGravityAcc-energy()-Z,0.10907753584087812,0.10907753584087812
PC3,52,tGravityAcc-min()-X,-0.10821919508509226,0.10821919508509226
PC3,558,"angle(X,gravityMean)",0.1075078714423552,0.1075078714423552
PC3,43,tGravityAcc-std()-X,0.10438443163356743,0.10438443163356743
PC3,40,tGravityAcc-mean()-X,-0.1041265254163109,0.1041265254163109
PC3,46,tGravityAcc-mad()-X,0.10411257239961101,0.10411257239961101
PC3,59,tGravityAcc-iqr()-X,0.10200760843666097,0.10200760843666097
