original_index,TSNE_1,TSNE_2,label
2691,-4.031778547111059,10.856713035505102,8
124,12.328257873859776,-64.25320653501494,0
160,-28.477760333841484,-48.07245127219379,4
4124,-42.770623040463704,-11.577571165029257,3
2731,28.111943921357067,-22.519304220931613,7
1103,27.08152814468451,62.73058556921447,6
752,-40.66613662983662,-2.16548156711713,3
3504,-28.417757695774203,56.496649420317596,5
140,52.319723554853326,11.744674811364485,2
884,47.76886717874584,20.5780364932515,2
3844,-8.65703719898067,-15.599435865745706,1
1391,39.6653497567737,9.946851583318628,2
2113,-43.57801146418015,-12.97424310450528,3
1313,-9.761164905391261,51.12800611667256,5
4433,42.976659627120284,-29.12941286649695,7
5199,-34.86472049067712,-9.007647814276451,3
1662,-29.966487279839594,46.18498240675305,5
1563,49.467543293605594,15.6497736844212,2
3425,15.71294499544101,-65.11674099768767,0
4729,60.35254552805795,29.434242905663673,1
4662,-37.34145364945076,-6.292322565205751,3
860,22.69528341114814,-65.1663806489612,0
736,67.48478081870284,3.4031466134331607,2
2014,65.07023891547126,12.676092356119458,2
3384,11.495178059472265,-59.59427026504623,0
4451,49.488973548863655,-28.371163975938163,7
3996,32.79462721359769,-24.246345527814864,7
841,5.511349321176485,-55.45249085947557,0
354,-46.56523001904839,16.235814435835188,9
1885,44.07148242122324,-29.510604733039376,7
3213,13.684653095341234,-69.9480977964144,0
4435,-14.4343806752005,23.287859227376295,8
2077,-2.9329013508084456,-19.693554631587133,3
1652,-13.095199744594805,-49.39487786822209,4
3637,-50.883166711152946,-17.10136683111688,3
4267,33.2125016542028,54.88746739011927,6
905,-44.600892855393866,18.224212867918283,9
1017,-58.89764246504952,19.59590681669727,9
5378,9.677711629298724,-71.6841022269635,0
3266,38.64320177754538,-19.894228702163044,7
1705,-61.849054853723025,16.225881985832437,9
5244,30.410226308908747,61.22626022683954,6
2780,-15.802327720613269,-47.06081233737832,4
5290,27.182373599491328,-25.36281684249285,7
3002,24.709997613688437,39.108706222482446,6
2602,-16.85479073686528,-49.64510189588284,4
2698,-16.079891535331722,48.70255960961453,5
4254,-51.20781325474899,3.1004071952141494,3
2967,-50.18835439039102,13.590684299725057,9
1306,-50.14767914566092,23.443073389184498,9
795,-41.33324360600238,-45.12344871284994,4
323,-31.937965787982474,-45.92009263936357,4
1707,-56.307871419212645,-2.7816248205793452,3
1718,10.321474860107584,-57.754761589433244,0
1616,-5.463603950278947,19.974334828981977,8
4634,-17.62154603825919,50.94491749616971,5
879,-19.470850345774164,47.47579211488642,5
3661,-30.09309244972313,48.26949774687662,5
3397,-20.39929825531484,-40.47724165303167,4
3160,14.634247238225386,-56.9871865003048,0
3108,-33.940330128390656,52.91788599415338,5
360,26.376588580082007,-26.73299179750236,7
1815,-15.936232593196516,2.6352837168075034,8
5422,13.127290997388023,6.183400454554321,1
3990,-55.178158147521415,18.768861758281055,9
1369,-21.41210970457745,51.81247110824826,5
4596,-14.40317302418708,18.96402971624099,8
3164,-53.847055080273826,11.5436578987116,9
